trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-98.10185866659738,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-40.44378828253753,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",30,0,-132.99736540591996,"{0: 14, 1: 5, 2: 9, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-43.06802588489023,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-113.43177788610595,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-126.18194662832883,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-103.37580522615107,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-123.08423074971753,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-23.579119589273382,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-66.2751439870545,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-36.650140897842164,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",35,0,-50.21825704054984,"{0: 26, 1: 1, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-130.18994394247133,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",35,16,-56.057307396162834,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-161.73149947903295,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-75.78951673317746,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,0,-101.39607238938581,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-37.2044925391814,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,0,-73.42917289745688,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,12,-53.55272231406105,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,0,-197.52083943661194,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-82.2736408820721,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,9,-100.23605121162676,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-133.09293636841062,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-109.1038802956428,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,2,-16.99389409467256,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-78.63718557546983,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,11,-60.42998951320332,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-59.603163631141896,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-94.82627204090618,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-48.216472338387526,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-130.233746619841,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",30,1,-116.3550925507439,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,1,-153.8385663865894,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 3}",1
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-183.6976436138108,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,2,-108.64092528238407,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,10,-34.56464038727357,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,0,-98.92346783117948,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",35,0,-288.4472071178015,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 5}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,11,-27.330117034392853,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",30,0,-90.40231104623972,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-166.76713481677606,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",35,0,-113.58855501950575,"{0: 25, 1: 4, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-54.842466940832836,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-19.720379344300007,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-97.07145717810886,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,7,-20.578441039573296,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,0,-73.57320160978188,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-130.22222917184848,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-177.90539909012145,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-39.35575227825655,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-47.55390264203069,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,0,-11.48880334505004,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-45.575775675169965,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-94.25761838706143,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-98.67585102047576,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,0,-59.02288367240679,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-107.32290421519275,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",30,0,-202.34005623302926,"{0: 19, 1: 1, 2: 4, 3: 3, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-43.88670859780887,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",25,0,-153.99016733133337,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,-134.83037770579944,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-46.37528847904997,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-57.82667852204766,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
