trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.25}",20,4,-160.86880982782898,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-149.84484459175178,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.0625}",25,0,-56.6229396421649,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.04}",25,0,-144.66641482333455,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,0,-40.88224653970572,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.02040816326530612}",30,0,-65.4498985531864,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.015625}",30,0,-91.86529130666504,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,-24.554419237974273,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.01}",20,0,-78.01957861927437,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,0,-203.16162486716735,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,8,-2.1363370887097055,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-49.07076535588323,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,-68.78569799056822,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.004444444444444444}",20,0,-155.7561745592937,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.00390625}",30,0,35.964647055121475,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,4,-48.860817829911106,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.0030864197530864196}",30,4,-46.75679073873709,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.002770083102493075}",35,0,10.353471884399221,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.0025}",20,0,-69.34125874012257,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.0022675736961451248}",25,0,20.059979025027186,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.002066115702479339}",30,0,-36.675086780286364,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,0,29.680904069700837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001736111111111111}",20,0,-16.111447863250437,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.0016}",25,0,-16.539049200809576,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,0,-103.40027391156329,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.0013717421124828531}",20,0,23.895690569165666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0012755102040816326}",25,0,35.175501162319044,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.0011890606420927464}",30,0,-82.61756681985207,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.001111111111111111}",35,0,32.0652320040812,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.0010405827263267426}",30,0,26.614269247498573,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.0009765624999999996}",30,0,47.644352856658024,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.0009182736455463725}",25,0,-17.362010521192108,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.0008650519031141866}",30,0,-4.649667413597939,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.0008163265306122446}",20,12,-78.80781970252059,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.0007716049382716047}",20,0,18.496828604879227,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.0007304601899196492}",25,0,23.18554330256575,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.0006925207756232685}",25,6,26.912149478093493,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.0006574621959237342}",25,0,-2.4808724356142235,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.0006249999999999997}",20,0,28.663894659389825,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.0005948839976204636}",30,0,-47.822741940502915,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.0005668934240362808}",25,0,39.14428836414076,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.0005408328826392642}",25,0,42.21859105824696,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.0005165289256198345}",20,0,-11.717130520246151,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.000493827160493827}",20,0,-25.956579713142112,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.0004725897920604914}",20,13,15.824277177533567,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.0004526935264825712}",20,0,28.448453895062148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.0004340277777777777}",30,0,-54.534220726304774,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.0004164931278633901}",20,0,27.812691603472107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.00039999999999999986}",30,0,2.707520623028212,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.000384467512495194}",25,0,24.718714727054333,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.0003698224852071005}",25,0,19.050578422384234,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.0003559985760056959}",20,0,18.660635820791555,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.00034293552812071317}",20,0,27.35080810857766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.00033057851239669413}",25,0,18.873761282619583,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.0003188775510204081}",20,0,15.660708364354146,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.00030778701138811936}",30,16,24.610817225486215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
