trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-112.31774247177952,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.25}",25,0,-216.6034877713686,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",30,20,-36.89483858408659,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.9, 'e': 0.0625}",20,0,-62.788532751509585,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.04}",25,0,-43.528387924807916,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",25,0,-31.09093947028729,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",25,10,-27.273350788331605,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.9, 'e': 0.015625}",20,9,-88.64230466897199,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",25,10,18.186652371942404,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.01}",30,1,-21.384795944867204,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",30,0,-27.216511706308317,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,22.59252054234778,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",30,0,-181.70918603593327,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",25,12,-32.58880197189732,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",25,0,-31.530601826613776,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.00390625}",20,0,15.392669308364377,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",30,7,-17.878977023285646,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,0,28.35993900212075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",25,0,-62.35874257253341,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.0025}",20,0,-31.16430192938678,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",25,0,38.07571910594348,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",20,0,7.727305213155594,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",35,13,-5.164893426954241,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",25,0,28.643180241080923,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.0016}",30,17,17.929465342097693,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",25,0,-49.84593725806101,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",20,0,-77.88441647521162,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",20,7,21.030005824991974,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",25,0,-107.77135164488352,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",20,0,15.800587864191497,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",35,23,18.987799140925652,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.0009765625}",30,0,-21.77605684548258,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",20,0,-27.18296440258223,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",20,5,23.97092096383684,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.0008163265306122449}",20,0,28.57497072377446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.9, 'e': 0.0007716049382716049}",20,0,30.75549210666978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.9, 'e': 0.0007304601899196494}",25,5,-37.912634141480375,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.9, 'e': 0.0006925207756232687}",20,0,-12.701017155221338,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.0006574621959237344}",20,6,10.505663651905127,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.000625}",25,5,-35.35931266132584,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.9, 'e': 0.000594883997620464}",20,3,1.4142026817530664,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.0005668934240362812}",35,0,29.314949939454173,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.0005408328826392645}",25,11,23.612780037557567,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.0005165289256198347}",25,0,-4.293060159748322,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.0004938271604938272}",20,0,-15.019771893347459,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.9, 'e': 0.0004725897920604915}",25,0,27.50214040892824,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.0004526935264825713}",20,0,34.22031357739976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
