trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.95}",20,0,-111.35247374376937,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.8999999999999999}",20,11,-32.97274092985709,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.75, 'e': 0.8499999999999999}",25,15,-33.69613125046707,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.75, 'e': 0.7999999999999998}",20,0,-100.6717374823878,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.7499999999999998}",20,0,-127.50114100742738,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.75, 'e': 0.6999999999999997}",20,0,-147.43594774902607,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.75, 'e': 0.6499999999999997}",20,0,-36.378191623427256,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.5999999999999996}",30,17,-46.97239951868832,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.75, 'e': 0.5499999999999996}",25,0,-63.187688299032835,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.4999999999999996}",25,0,-116.06900502641281,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.4499999999999996}",20,0,-58.35023823681049,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.39999999999999963}",20,0,-89.2359355238746,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.34999999999999964}",20,13,13.031635236599735,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.29999999999999966}",25,0,17.13331634318997,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.24999999999999967}",30,0,-82.98347024961066,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.19999999999999968}",20,0,-49.97987825206973,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.1499999999999997}",20,0,-71.08193346552562,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.75, 'e': 0.09999999999999969}",25,0,-54.84541303180802,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.049999999999999684}",20,0,-48.453795761038805,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.75, 'e': -3.191891195797325e-16}",20,0,-37.08234667584379,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,6,-75.4016952352069,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,34.119793189171986,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,25,18.46770302873749,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,7,9.648717444622363,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,13,10.977746276460996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,10.32691044343929,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,3,-13.132235878580822,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-102.82001746084643,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,10,21.934361840171775,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-65.72347045773365,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
