trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-136.4150441103042,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-118.57604478545977,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-142.1489883936248,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,13,-63.51179885911193,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-183.74060391789394,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-41.16289807467664,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-151.16644576911327,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-168.88228853498455,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,3,-126.12628615704206,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-108.51087697591215,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-90.95798499468147,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-104.23758879986747,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-155.20581444912042,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,0,-143.9328491916477,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-155.47840164140717,"{0: 9, 1: 5, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-89.68854785595326,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,15,-4.862001239530723,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-42.42511792421317,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-128.99993262525626,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-69.52109756230762,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-22.56754816314822,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",35,17,-26.208118757125344,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-116.75893579501044,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-50.97328260322276,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-109.99979251300363,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-117.10365582724083,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-261.2426844274913,"{0: 12, 1: 2, 2: 3, 3: 4, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-128.71844525640358,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-153.11144154651754,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-68.68872184696862,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-27.44897550669093,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-84.64554696192805,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-71.42495933848944,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-80.18135579088072,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-24.215778871804723,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
