trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-120.65428123758973,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-202.60610393219835,"{0: 8, 1: 6, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,0,-223.7790398185959,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,2,-103.06926963387811,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.95}",20,15,-3.0715678285612915,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-146.7011064735778,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-105.4140938890738,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-101.04116715812467,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-53.24738768394575,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-97.39925823115614,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-127.60454386405644,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-191.96768582103408,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,9,-77.6643709177146,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-129.896185439794,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
