trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9900498337491681}",25,0,-72.34506452594324,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.9801986733067553}",20,0,-84.00704308377757,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9704455335485082}",20,13,12.601957356915586,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.9607894391523232}",30,0,-223.6207203148975,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.9, 'e': 0.951229424500714}",25,0,-116.16788863182389,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.9417645335842487}",20,0,-84.86411499424372,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9323938199059483}",25,0,-41.6223724510135,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9231163463866358}",30,0,-149.85704507452786,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.9139311852712282}",25,0,-169.01977034045885,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.9, 'e': 0.9048374180359595}",20,0,-29.828547193841697,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.8958341352965282}",30,0,-193.96829034678814,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.8869204367171575}",25,0,0.12357586056800751,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.8780954309205613}",20,0,-48.62541285032317,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.8693582353988059}",30,0,-128.21437639255035,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.8607079764250578}",20,0,-82.04767297087821,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.8521437889662113}",25,0,-136.3640353845182,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.8436648165963837}",30,0,-59.11447657181022,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.835270211411272}",20,0,-46.04508743979495,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.8269591339433623}",25,0,-81.49334463433195,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.8187307530779818}",25,0,-132.02823606890007,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.9, 'e': 0.8105842459701871}",25,0,-123.43327802119312,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.9, 'e': 0.8025187979624785}",20,8,-35.98315440802928,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.794533602503334}",20,0,-179.33635288278836,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
24,False,"{'a': 0.9, 'e': 0.7866278610665535}",25,0,-156.31205153956796,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.7788007830714049}",30,0,-141.75381144091142,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.9, 'e': 0.7710515858035663}",20,0,-24.521498404352393,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.7633794943368531}",25,0,-137.3373820618297,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.9, 'e': 0.7557837414557255}",25,1,-66.12859622479056,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.7482635675785653}",25,0,-35.08878535683451,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.7408182206817179}",20,0,-240.99443600281168,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 5}",0
31,False,"{'a': 0.9, 'e': 0.7334469562242892}",25,0,-68.91906339302314,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",1
32,False,"{'a': 0.9, 'e': 0.7261490370736909}",20,0,-119.74236010791735,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.9, 'e': 0.7189237334319262}",35,0,-161.54604753044808,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
34,False,"{'a': 0.9, 'e': 0.7117703227626097}",20,0,-26.85988261580755,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.9, 'e': 0.7046880897187134}",30,0,-48.21376803626494,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.9, 'e': 0.697676326071031}",25,0,-200.5688734330419,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
37,False,"{'a': 0.9, 'e': 0.6907343306373547}",30,5,-47.28587041379178,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.6838614092123558}",25,8,-111.16580628068863,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 2}",1
39,False,"{'a': 0.9, 'e': 0.6770568744981647}",25,0,-231.3137773529713,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
40,False,"{'a': 0.9, 'e': 0.6703200460356393}",20,0,-77.70167751817802,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.6636502501363194}",20,0,-36.94765987366826,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.6570468198150567}",20,0,-77.42991739777054,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.9, 'e': 0.6505090947233165}",20,0,-110.8501824081756,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.6440364210831414}",20,10,13.613068271873951,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.6376281516217733}",20,0,-123.20441778235505,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.631283645506926}",20,0,-61.28631576198619,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
47,False,"{'a': 0.9, 'e': 0.6250022682827008}",25,0,-132.59094870876953,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.9, 'e': 0.6187833918061408}",25,0,-70.93719967280929,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.9, 'e': 0.6126263941844161}",25,0,-202.9894128033147,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
50,False,"{'a': 0.9, 'e': 0.6065306597126334}",25,0,-140.50717285931404,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.9, 'e': 0.6004955788122659}",25,0,-175.03140509850206,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
52,False,"{'a': 0.9, 'e': 0.5945205479701944}",20,5,12.194877995694625,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.5886049696783552}",30,0,-83.26219275828278,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.9, 'e': 0.5827482523739896}",30,0,-27.982097538280936,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.9, 'e': 0.5769498103804866}",20,10,6.978813357166737,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.9, 'e': 0.5712090638488149}",30,0,-101.60320929594077,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
57,False,"{'a': 0.9, 'e': 0.5655254386995371}",30,0,-130.66887796807282,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.9, 'e': 0.559898366565402}",20,0,-27.584540121302368,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.9, 'e': 0.5543272847345071}",20,0,-50.11938065850248,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.5488116360940265}",20,0,-16.675294715940687,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.5433508690744998}",25,0,-139.31419508292248,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
