trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9900498337491681}",20,0,-132.4686857936774,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9801986733067553}",25,0,-129.8620419996012,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.9704455335485082}",35,0,-227.29356058100873,"{0: 20, 1: 2, 2: 7, 3: 3, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.9607894391523232}",25,0,-109.32094924418635,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.951229424500714}",20,0,-56.18062259805405,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9417645335842487}",20,0,-102.74893314495799,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.9323938199059483}",25,0,-171.1697223943815,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9231163463866358}",20,0,-163.11640456834346,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.9139311852712282}",20,0,-115.29849591979125,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9048374180359595}",25,0,-49.68549354526768,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.8958341352965282}",35,0,-191.40804766144157,"{0: 22, 1: 5, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.8869204367171575}",25,0,-184.7024366003865,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.8780954309205613}",25,0,-138.1808175947714,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.8693582353988059}",20,0,-59.43609481512323,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.8607079764250578}",30,17,-31.55884010362417,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.8521437889662113}",20,0,-82.60197365749423,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.8436648165963837}",25,0,-57.58526991145734,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.835270211411272}",30,0,-89.19281370493744,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.8269591339433623}",20,0,-85.89533794805544,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.8187307530779818}",30,0,-148.2898536044304,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.8105842459701871}",20,0,-42.4979307262144,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.8025187979624785}",20,0,-40.45982262310984,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.794533602503334}",30,15,-23.225955479110464,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.7866278610665535}",30,0,-142.65151300430773,"{0: 16, 1: 2, 2: 11, 3: 0, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.7788007830714049}",20,0,-84.51235599295951,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.7710515858035663}",30,20,-34.50831572865523,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.1, 'e': 0.7633794943368531}",20,4,-109.76575273899107,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.7557837414557255}",30,0,-180.0956586141593,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
29,False,"{'a': 0.1, 'e': 0.7482635675785653}",20,14,-16.147578407893,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.7408182206817179}",30,0,-79.20332609252787,"{0: 23, 1: 5, 2: 0, 3: 0, 4: 2}",0
31,False,"{'a': 0.1, 'e': 0.7334469562242892}",25,0,-41.497798429456076,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
