trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-70.85718515751402,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-31.169009572838963,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,0,-165.57554581408795,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96}",30,0,-142.34817320902485,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",30,0,-106.29333371178001,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-169.99071556269874,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-200.43296128471334,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-54.44902184517078,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-11.55333081597676,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-200.94919173995493,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-146.09524980569464,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,14,4.230423868575905,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,14,10.591098525724092,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-24.658649619817574,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-147.6801679839069,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-79.53877241197335,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",35,6,-148.05172258933163,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,0,-222.03072892648737,"{0: 14, 1: 1, 2: 11, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-82.45598540593895,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-84.69966955020737,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,2,-115.12053060884337,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-77.69913172495993,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-97.47456009638695,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-65.35624690171218,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-72.03080315899435,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-144.97412832786208,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-71.22287591276935,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",35,0,-100.50241491005491,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-7.63031886332528,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-15.895533196974947,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,15,3.4470032354259335,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-24.117805837339574,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-83.71745183853037,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-74.00806702959487,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-28.91921343729909,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-53.17715813852996,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,13,-26.210966214290274,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,8.40204161541743,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-104.65498450148776,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-81.71928787929826,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,7,-39.24962242983465,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",35,0,-108.21275731837007,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
